id,circ_lib,creator,call_number,editor,create_date,edit_date,copy_number,status,location,loan_duration,fine_level,age_protect,circulate,deposit,ref,holdable,deposit_amount,price,barcode,circ_modifier,circ_as_type,dummy_title,dummy_author,alert_message,opac_visible,deleted,floating,dummy_isbn,status_changed_time,mint_condition,cost,active_date,egid,hseq,l_price,l_call_num,l_barcode,l_location,l_create_date
137478,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,189054,38996,"","","","",""
137562,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,189139,39080,"","","","",""
137793,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,189375,39311,"","","","",""
138009,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,189594,39527,"","","","",""
138154,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,189741,39672,"","","","",""
138160,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,189747,39678,"","","","",""
138339,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,189929,39857,"","","","",""
138360,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,189951,39878,"","","","",""
138461,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,190052,39979,"","","","",""
138462,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,190053,39980,"","","","",""
138476,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,190068,39994,"","","","",""
138497,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,190089,40015,"","","","",""
138651,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,190248,40169,"","","","",""
138737,,,,,2012-07-17 00:55:54.448638-05,2012-07-17 00:55:54.448638-05,,0,1,,,,t,f,f,t,0.00,,,,,,,,t,f,f,,,t,,,190334,40255,"","","","",""
